cause_of_death,category_human
benign paroxysmal vertigo,none
vascular dementia of acute onset,cerebrovascular disease
water-transport-related drowning and submersion without accident to watercraft sailboat,none
unspecified diabetes mellitus with peripheral circulatory complications,none
pneumoconiosis due to talc dust,none
necrotizing vasculopathy unspecified,none
sepsis due to anaerobes,none
measles complicated by pneumonia,none
hereditary nephropathy not elsewhere classified diffuse mesangiocapillary glomerulonephritis,none
other disorders of electrolyte and fluid balance not elsewhere classified,none
acute appendicitis other and unspecified,none
acute bronchiolitis due to human metapneumovirus,none
haemangioma any site,none
organic personality disorder,none
other infective spondylopathies,none
non-hodgkin lymphoma unspecified,none
pasteurellosis,none
mandibulofacial dysostosis,none
other forms of herpesviral infection,none
cyst and mucocele of nose and nasal sinus,none
disorders of multiple cranial nerves,none
torticollis,none
cerebrovascular disease unspecified,cerebrovascular disease
mental and behavioural disorders due to multiple drug use and use of other psychoactive substances unspecified mental and behavioural disorder,none
other histiocytosis syndromes,none
subarachnoid haemorrhage from anterior communicating artery,cerebrovascular disease
vesical fistula not elsewhere classified,none
other and unspecified water transport accidents other unpowered watercraft,none
unspecified diabetes mellitus without complications,none
acute bronchiolitis unspecified,pulmonary disease
alcoholic liver disease unspecified,none
gastric ulcer acute without haemorrhage or perforation,none
benign neoplasm oesophagus,none
hyperlipidaemia unspecified,none
normal-pressure hydrocephalus,none
other inflammatory diseases of prostate,none
postpartum coagulation defects,none
lymphoedema not elsewhere classified,none
other diseases of spleen,none
malignant neoplasm body of penis,none
granuloma and granuloma-like lesions of oral mucosa,none
fetus and newborn affected by maternal use of drugs of addiction,none
hydantoin derivatives,none
cutaneous abscess furuncle and carbuncle of limb,none
abnormal uterine and vaginal bleeding unspecified,none
malignant neoplasm of other and ill-defined sites overlapping lesion of other and ill-defined sites,none
peptic ulcer site unspecified chronic without haemorrhage or perforation,none
mediastinal thymic large b-cell lymphoma,none
kyphoscoliotic heart disease,none
hiv disease resulting in wasting syndrome,none
acute inflammatory disease of uterus,none
nonspecific urethritis,none
other congenital malformations of pancreas and pancreatic duct,none
occupant of three-wheeled motor vehicle injured in collision with car pick-up truck or van person injured while boarding or alighting,none
paranoid personality disorder,none
cerebral aneurysm nonruptured,cerebrovascular disease
ileus unspecified,none
aplastic anaemia unspecified,none
hypo-osmolality and hyponatraemia,none
benign neoplasm pituitary gland,none
person on outside of special agricultural vehicle injured in nontraffic accident,none
chronic inflammation of lacrimal passages,none
subcorneal pustular dermatitis,none
neoplasm of uncertain or unknown behaviour kidney,kidney cancer
congenital posterior urethral valves,none
unspecified visual impairment binocular,none
presbyopia,none
disease of pericardium unspecified,none
ichthyosis vulgaris,none
special epileptic syndromes,none
abscess furuncle and carbuncle of nose,none
hypothalamic dysfunction not elsewhere classified,none
inflammatory polyneuropathy unspecified,none
mixed cortical and subcortical vascular dementia,cerebrovascular disease
other forms of systemic lupus erythematosus,none
erythrasma,none
disease of biliary tract unspecified,none
pneumonia due to staphylococcus,none
cellulitis of external ear,none
neoplasm of uncertain or unknown behaviour other respiratory organs,none
haemorrhage from other sites in respiratory passages,none
mental and behavioural disorders due to use of tobacco unspecified mental and behavioural disorder,none
cerebral oedema,none
malignant neoplasm carotid body,none
congenital malformation of stomach unspecified,none
malignant neoplasm brain unspecified,none
striatonigral degeneration,none
coxarthrosis unspecified,none
toxoplasmosis with other organ involvement,none
benign neoplasm connective and other soft tissue of abdomen,none
constipation,none
hiv disease resulting in mycobacterial infection,none
spondylolisthesis,none
malignant neoplasm tail of pancreas,pancreatic cancer
other symptomatic late syphilis,none
carotid artery syndrome hemispheric,cerebrovascular disease
benign neoplasm colon unspecified,none
driver of special industrial vehicle injured in nontraffic accident,none
chronic kidney disease stage 5,none
peripheral t-cell lymphoma not classified,none
during heart catheterization,none
unspecified diabetes mellitus with ophthalmic complications,none
endomyocardial eosinophilic disease,none
contracture of muscle,none
irritable bowel syndrome with diarrhoea,none
ulcerative chronic proctitis,none
mesothelioma of pericardium,none
sequelae of adverse incidents associated with medical devices in diagnostic and therapeutic use,none
other amnesia,none
tuberculous meningitis,none
benign neoplasm bone and articular cartilage unspecified,none
sepsis due to unspecified staphylococcus,none
bullous erythema multiforme,none
malignant neoplasm middle ear,none
malignant neoplasm urachus,bladder cancer
unspecified occupant of special industrial vehicle injured in nontraffic accident,none
other specified congenital malformations of intestine,none
defects in glycoprotein degradation,none
streptococcal pharyngitis,none
mixed small and large cell difuse - 2008 version,none
malignant immunoproliferative disease unspecified,none
other and unspecified medical devices associated with adverse incidents therapeutic nonsurgical and rehabilitative devices,none
rhinocerebral mucormycosis,none
mnire disease,none
other disorders of autonomic nervous system,none
benign lipomatous neoplasm of intra-abdominal organs,none
neoplasm of uncertain or unknown behaviour meninges unspecified,none
other congenital malformations of abdominal wall,none
brucellosis unspecified,none
other specified diseases of intestine,none
mental disorders and diseases of the nervous system complicating pregnancy childbirth and the puerperium,none
other specified disorders of skin and subcutaneous tissue,none
covid-19 virus not identified,none
spondylopathy unspecified,none
mycobacterial infection unspecified,none
vitamin b12 deficiency anaemia due to intrinsic factor deficiency,none
excessive and frequent menstruation with regular cycle,none
sepsis due to streptococcus group b,none
obstructive hypertrophic cardiomyopathy,none
parenteral anaesthetics,none
metaphyseal dysplasia,none
hairy-cell leukaemia,none
malignent histiocytosis - from 2008 classification,none
residual schizophrenia,none
ectopic pregnancy unspecified,none
deforming dorsopathy unspecified,none
pedal cyclist [any] injured in unspecified traffic accident,none
malignant neoplasm of other and ill-defined sites upper limb,none
malignant neoplasm of lymphoid haematopoietic and related tissue unspecified,none
other congenital malformations of ureter,none
pneumonitis due to oils and essences,none
creutzfeldt-jakob disease,none
acute monoblastic/monocytic leukaemia,acute myeloid leukemia
motorcycle rider [any] injured in other specified transport accidents,none
infections of the genital tract in pregnancy,none
secondary hypertension unspecified,none
intra-abdominal and pelvic swelling mass and lump,none
glossitis,none
female pelvic peritonitis unspecified,none
other hyperparathyroidism,none
other specified degenerative diseases of basal ganglia,none
mental and behavioural disorders due to use of cannabinoids harmful use,none
accident to watercraft causing drowning and submersion fishing boat,none
benign neoplasm liver,none
intracranial abscess and granuloma,none
hypoxic ischaemic encephalopathy of newborn,none
driver of special construction vehicle injured in traffic accident,none
other specified congenital malformations of skin,none
mucopolysaccharidosis type i,none
occupant of pick-up truck or van injured in collision with fixed or stationary object passenger injured in traffic accident,none
parainfluenza virus pneumonia,none
bronchitis and pneumonitis due to chemicals gases fumes and vapours,none
water-transport-related drowning and submersion without accident to watercraft other powered watercraft,none
pedal cyclist injured in collision with two- or three-wheeled motor vehicle driver injured in nontraffic accident,none
toxic liver disease with hepatitis not elsewhere classified,none
tetraplegia unspecified,none
hiv disease resulting in other infectious and parasitic diseases,none
clonic hemifacial spasm,none
tuberculosis complicating pregnancy childbirth and the puerperium,none
embolism and thrombosis of unspecified vein,none
secondary malignant neoplasm of ovary,none
respiratory failure unspecified,pulmonary disease
nephrotic syndrome unspecified,none
malignant neoplasm hard palate,oral cavity cancer
chronic kidney disease unspecified,none
nonrheumatic tricuspid valve insufficiency,none
cutaneous nocardiosis,none
acute nephritic syndrome other,none
hypersensitivity pneumonitis due to other organic dusts,none
neonatal aspiration of meconium,none
indeterminate colitis,none
klippel-feil syndrome,none
car occupant injured in noncollision transport accident person on outside of vehicle injured in traffic accident,none
other combined immunodeficiencies,none
hereditary ataxia unspecified,none
ventricular premature depolarization,none
other congenital malformations of oesophagus,none
other aircraft accidents injuring occupant,none
deficiency of vitamin k,none
other cervical disc displacement,none
hypertensive renal disease without renal failure,none
turner syndrome unspecified,none
benign neoplasm middle ear nasal cavity and accessory sinuses,none
fetus and newborn affected by maternal nutritional disorders,none
other specified disorders of prostate,none
malignant neoplasm anterior two-thirds of tongue part unspecified,oral cavity cancer
acute nephritic syndrome unspecified,none
other atresia and stenosis of urethra and bladder neck,none
mental and behavioural disorders due to use of other stimulants including caffeine harmful use,none
iniencephaly,none
unspecified haemorrhoids with other complications until 2013 - then moved to k64,none
hypersensitivity pneumonitis due to unspecified organic dust,none
other cervical disc degeneration,none
respiratory arrest,none
insulin-dependent diabetes mellitus with ketoacidosis,none
acute prostatitis,none
ebstein anomaly,none
other benign neoplasm cervix uteri,none
mucormycosis unspecified,none
person injured in unspecified vehicle accident,none
drug-induced hypopituitarism,none
infarction of liver,none
other dissociative [conversion] disorders,none
malignant neoplasm external lower lip,oral cavity cancer
subcutaneous phaeomycotic abscess and cyst,none
helicopter accident injuring occupant,none
other hydrocephalus,none
other specified intervertebral disc degeneration,none
developmental disorder of speech and language unspecified,none
secondary thrombocytopenia,none
gastric ulcer chronic or unspecified with haemorrhage,none
postconcussional syndrome,none
osteochondrodysplasia unspecified,none
disorders of both mitral and tricuspid valves,none
diverticulum of bladder,none
aortic valve insufficiency,none
congenital malformations of intestinal fixation,none
local antifungal anti-infective and anti-inflammatory drugs not elsewhere classified,none
bacterial infection unspecified,none
motorcycle rider injured in collision with two- or three-wheeled motor vehicle driver injured in traffic accident,none
other infective bursitis,none
benign neoplasm rectum,none
mental and behavioural disorders due to use of cocaine unspecified mental and behavioural disorder,none
other congenital malformation syndromes with other skeletal changes,none
dorsopathy unspecified,none
pectus excavatum,none
chronic kidney disease stage 3,none
other osteoporosis,none
person injured while boarding or alighting from special industrial vehicle,none
mononeuropathy unspecified,none
other respiratory tuberculosis without mention of bacteriological or histological confirmation,none
retrovirus infections not elsewhere classified,none
other specified general symptoms and signs,none
intraspinal abscess and granuloma,none
alcohol-induced acute pancreatitis,none
malignant neoplasm anterior surface of epiglottis,none
tuberculous peripheral lymphadenopathy,none
pedal cyclist injured in collision with other pedal cycle driver injured in nontraffic accident,none
temporomandibular joint disorders,none
other and unspecified convulsions,none
dengue unspecified 2016 onwards,none
benign neoplasm transverse colon,none
other specified disorders of bone,none
other spondylosis,none
other orthopoxvirus infections,none
malignant neoplasm trigone of bladder,bladder cancer
malignant neoplasm intestinal tract part unspecified,none
benign neoplasm female genital organ unspecified,none
unspecified cleft palate with unilateral cleft lip,none
acute upper respiratory infection unspecified,none
biliary cirrhosis unspecified,none
mental and behavioural disorders due to use of alcohol residual and late-onset psychotic disorder,none
other chronic thyroiditis,none
other cardiomyopathies,none
malignant neoplasm uvula,oral cavity cancer
influenza with other manifestations virus not identified,none
cushing syndrome unspecified,none
malignant neoplasm frontal lobe,none
acute poliomyelitis unspecified,none
laryngeal spasm,none
congenital malformation of cardiac septum unspecified,none
neoplasm of uncertain or unknown behaviour ureter,none
chronic adhesive pericarditis,none
chronic sinusitis unspecified,none
other classical hodgkin lymphoma,none
coronary artery aneurysm,ischaemic heart disease
fetus and newborn affected by placenta praevia,none
malignant neoplasm overlapping lesion of brain,none
diverticular disease of both small and large intestine with perforation and abscess,none
discordant ventriculoarterial connection,none
congenital herpesviral [herpes simplex] infection,none
during injection or immunization,none
panic disorder [episodic paroxysmal anxiety],none
infection of obstetric surgical wound,none
intracranial haemorrhage nontraumatic unspecified,cerebrovascular disease
neoplasm of uncertain or unknown behaviour brain infratentorial,none
other cerebral palsy,none
congestion and haemorrhage of prostate,none
other specified heart block,none
other porphyria,none
other complications of spinal and epidural anaesthesia during labour and delivery,none
acute sinusitis unspecified,none
embolism and thrombosis of vena cava,none
sepsis due to other gram-negative organisms,none
other depressive episodes,none
car occupant injured in collision with railway train or railway vehicle driver injured in traffic accident,none
congenital malformation of oesophagus unspecified,none
geniculate ganglionitis,none
abscess of vulva,none
hepatic sclerosis,none
juvenile osteochondrosis of pelvis,none
folate deficiency anaemia unspecified,none
hydrops fetalis not due to haemolytic disease,none
macroglossia,none
neoplasm of uncertain or unknown behaviour rectum,colorectal cancer
abscess of tendon sheath,none
secondary malignant neoplasm of pleura,none
malignant neoplasm scrotum,none
dextrocardia,none
periodontal disease unspecified,none
carcinoma in situ digestive organ unspecified,none
malignant neoplasm overlapping lesion of floor of mouth,oral cavity cancer
acute rheumatic heart disease unspecified,none
erythematous condition unspecified,none
meningitis unspecified,none
flaccid neuropathic bladder not elsewhere classified,none
acute appendicitis with localized peritonitis,none
atrial fibrillation and atrial flutter unspecified from 2014 onwards,none
mental and behavioural disorders due to use of opioids harmful use,none
cerebrospinal fluid leak,none
benign neoplasm pharynx unspecified,none
malignant neoplasm female genital organ unspecified,none
mesothelioma of other sites,none
atherosclerosis of arteries of extremities,none
pulmonary heart disease unspecified,none
adenosine deaminase [ada] deficiency,none
chronic viral hepatitis unspecified,none
other disorders of pituitary gland,none
disorder of brain unspecified,none
intracerebral haemorrhage intraventricular,cerebrovascular disease
malignant neoplasm spermatic cord,none
tricuspid valve disease unspecified,none
multifocal fibrosclerosis,none
osteophyte,none
catatonic schizophrenia,none
pulmonary mycobacterial infection,none
primary pulmonary hypertension,none
tinea manuum,none
congenital absence atresia and stenosis of ileum,none
disorder of bone unspecified,none
malignant neoplasm malignant neoplasm of skin unspecified,none
angina pectoris with documented spasm,ischaemic heart disease
malignant neoplasm primary site unknown so stated,none
other deletions of part of a chromosome,none
covid-19 vaccines causing adverse effects in therapeutic use unspecified,none
car occupant injured in collision with car pick-up truck or van person on outside of vehicle injured in nontraffic accident,none
malignant neoplasm retina,none
insulin-dependent diabetes mellitus with ophthalmic complications,none
spastic tetraplegia,none
accident to watercraft causing drowning and submersion sailboat,none
unspecified diabetes mellitus with renal complications,none
other bacterial sepsis of newborn,none
other specified crystal arthropathies,none
coeliac disease,none
other granulomatous disorders of skin and subcutaneous tissue,none
congenital malformation syndromes predominantly affecting facial appearance,none
venous complication in pregnancy unspecified,none
ischaemia and infarction of kidney,none
ataxia unspecified,none
multiple congenital malformations not elsewhere classified,none
hypoparathyroidism unspecified,none
glaucoma unspecified,none
malignant neoplasm appendix,colorectal cancer
chronic constrictive pericarditis,none
entropion and trichiasis of eyelid,none
nonunion of fracture [pseudarthrosis],none
nodular sclerosis classical hodgkin lymphoma,none
monoclonal gammopathy of undetermined significance mgus,none
malignant neoplasm anterior mediastinum,none
benign neoplasm bladder,none
other reduction deformities of brain,none
other disorders of intestinal carbohydrate absorption,none
disorder involving the immune mechanism unspecified,none
person injured in collision between heavy transport vehicle and bus traffic,none
other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy childbirth and the puerperium,none
dressler syndrome,ischaemic heart disease
orchitis epididymitis and epididymo-orchitis with abscess,none
meconium plug syndrome,none
echinococcosis unspecified of liver,none
other hypertrophic cardiomyopathy,none
benign intracranial hypertension,none
candidiasis of other sites,none
other diseases of capillaries,none
hypersensitivity angiitis,none
malignant neoplasm spinal cord,none
diabetes insipidus,none
other specified congenital malformations of nervous system,none
malignant neoplasm aortic body and other paraganglia,none
disease of tongue unspecified,none
viral meningitis unspecified,none
malignant neoplasm overlapping malignant melanoma of skin,none
other tuberculosis of nervous system,none
acute transmural myocardial infarction of inferior wall,ischaemic heart disease
whooping cough unspecified,none
alzheimer disease with early onset,none
postpartum inversion of uterus,none
sarcoma of dendritic cells accessory cells,none
petrositis,none
childhood autism,none
schizoid personality disorder,none
reye syndrome,none
neoplasm of uncertain or unknown behaviour urinary organ unspecified,none
influenza with pneumonia virus not identified,none
congenital toxoplasmosis,none
neoplasm of uncertain or unknown behaviour digestive organ unspecified,none
pedal cyclist injured in collision with fixed or stationary object driver injured in nontraffic accident,none
flaccid tetraplegia,none
drug-induced acute pancreatitis,none
embolism and thrombosis of iliac artery,none
unspecified nephritic syndrome diffuse mesangial proliferative glomerulonephritis,none
46xx true hermaphrodite,none
accident to watercraft causing drowning and submersion other powered watercraft,none
antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinaemia,none
cytomegaloviral hepatitis,none
fibrothorax,none
sequelae of adverse effects caused by drugs medicaments and biological substances in therapeutic use,none
noninfective neonatal diarrhoea,none
person injured in unspecified motor-vehicle accident traffic,none
myositis unspecified,none
mononeuritis multiplex,none
other immediate postpartum haemorrhage,none
pneumoconiosis due to other dust containing silica,none
malignant neoplasm axillary tail of breast,none
streptococcal meningitis,none
gammaherpesviral mononucleosis,none
motorcycle rider injured in collision with pedestrian or animal driver injured in traffic accident,none
pedestrian injured in traffic accident involving other and unspecified motor vehicles,none
malignant neoplasm cervix uteri unspecified,none
whole chromosome trisomy mosaicism mitotic nondisjunction,none
benign neoplasm sigmoid colon,none
familial chondrocalcinosis,none
malignant neoplasm skin of ear and external auricular canal,none
other osteoporosis with pathological fracture,none
malignant neoplasm endocrine pancreas,pancreatic cancer
rider or occupant injured in other and unspecified transport accidents,none
peptic ulcer site unspecified acute with haemorrhage,none
cryoglobulinaemia,none
exstrophy of urinary bladder,none
febrile convulsions,none
crest syndrome,none
atypical virus infection of central nervous system unspecified,none
other specified necrotizing vasculopathies,none
acute drug-induced interstitial lung disorders,none
malignant neoplasm hepatic flexure,colorectal cancer
common variable immunodeficiency with autoantibodies to b- or t-cells,none
oesophageal web,none
other and unspecified intestinal obstruction,none
malignant neoplasm parietal lobe,none
atrial septal defect,none
malignant neoplasm connective and soft tissue of thorax,none
thrombotic microangiopathy,none
other specified cardiac arrhythmias,none
spontaneous rupture of unspecified tendon,none
crystal arthropathy unspecified,none
flexion deformity,none
other specified epidermal thickening,none
other vascular disorders of intestine,none
hypergammaglobulinaemia unspecified,none
fatty change of liver not elsewhere classified,none
trisomy and partial trisomy of autosomes unspecified,none
premature rupture of membranes unspecified,none
spontaneous abortion complete or unspecified with other and unspecified complications,none
manic episode unspecified,none
candidiasis unspecified,none
accident to watercraft causing drowning and submersion unspecified watercraft,none
sequelae of other and unspecified cerebrovascular diseases,cerebrovascular disease
diseases of the circulatory system complicating pregnancy childbirth and the puerperium,none
primary thrombophilia,none
encephalitis myelitis and encephalomyelitis unspecified,none
influenza with other respiratory manifestations virus not identified,none
other specified diseases of upper respiratory tract,none
atresia of foramina of magendie and luschka,none
cystic disease of liver,none
septo-optic dysplasia,none
benign neoplasm kidney,none
phakomatosis unspecified,none
benign neoplasm prostate,none
other specified inflammatory spondylopathies,none
ventral hernia with obstruction without gangrene from 2014 onwards,none
benign lipomatous neoplasm of other sites,none
carcinoma in situ skin of other and unspecified parts of face,none
torsion of ovary ovarian pedicle and fallopian tube,none
ulcerative chronic rectosigmoiditis,none
malignant neoplasm overlapping lesion of palate,oral cavity cancer
other specified polyneuropathies,none
pedal cyclist injured in noncollision transport accident driver injured in nontraffic accident,none
occupant of pick-up truck or van injured in noncollision transport accident person on outside of vehicle injured in nontraffic accident,none
varicose veins of lower extremities with inflammation,none
other forms of aspergillosis,none
neoplasm of uncertain or unknown behaviour stomach,stomach cancer
volvulus,none
malignant neoplasm acoustic nerve,none
car occupant injured in noncollision transport accident driver injured in nontraffic accident,none
acute disseminated demyelination unspecified,none
pedestrian injured in unspecified transport accident,none
occupant of streetcar injured in other specified transport accidents,none
occupant of pick-up truck or van injured in collision with car pick-up truck or van driver injured in traffic accident,none
bus occupant [any] injured in unspecified nontraffic accident,none
seropositive rheumatoid arthritis unspecified,none
diaphragmatic hernia with obstruction without gangrene,none
other and unspecified kyphosis,none
respiratory infections not elsewhere classified,none
neoplasm of uncertain or unknown behaviour larynx,larynx cancer
osteogenesis imperfecta,none
anal fistula,none
aneurysmal bone cyst,none
interstitial and deep keratitis,none
car occupant injured in collision with fixed or stationary object person on outside of vehicle injured in nontraffic accident,none
atresia of bile ducts,none
internal haemorrhoids without complication until 2013 - then moved to k64,none
other chronic diseases of tonsils and adenoids,none
patau syndrome unspecified,none
malignant neoplasm mandible,none
haemarthrosis,none
double heterozygous sickling disorders,none
other congenital malformations of larynx,none
chronic nephritic syndrome diffuse membranous glomerulonephritis,none
nasal polyp unspecified,none
myotonic disorders,none
other secondary arthrosis,none
fetus and newborn affected by other malpresentation malposition and disproportion during labour and delivery,none
acute pericarditis unspecified,none
other cerebral infarction,cerebrovascular disease
premature separation of placenta unspecified,none
unspecified contact dermatitis unspecified cause,none
sezary disease,none
benign neoplasm ill-defined sites within the digestive system,none
other specified pregnancy-related conditions,none
enteroviral meningitis,none
nonrheumatic tricuspid valve stenosis,none
ulcerative chronic pancolitis,none
carcinoma in situ larynx,larynx cancer
malignant neoplasm connective and soft tissue of upper limb including shoulder,none
other cervical disc disorders,none
other amyloidosis,none
bacterial sepsis of newborn unspecified,none
other pervasive developmental disorders,none
other specified noninfective gastroenteritis and colitis,none
x-ray contrast media,none
gonarthrosis unspecified,none
megalencephaly,none
acute lymphadenitis of upper limb,none
extranodal nk/t-cell lymphoma nasal type,none
other nonautoimmune haemolytic anaemias,none
malignant neoplasm other specified male genital organs,none
defects in post-translational modification of lysosomal enzymes,none
fetus and newborn affected by other maternal conditions,none
atresia of pulmonary artery,none
adult t-cell lymphoma/leukaemia htlv-1-associated,none
malignant neoplasm liver cell carcinoma,none
gastric ulcer unspecified as acute or chronic without haemorrhage or perforation,none
raynaud syndrome,none
xeroderma pigmentosum,none
lymphoid leukaemia unspecified,none
alcoholic fibrosis and sclerosis of liver,none
car occupant [any] injured in unspecified traffic accident,none
diffuse large b-cell lymphoma,none
occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object driver injured in traffic accident,none
benign neoplasm meninges unspecified,none
benign neoplasm bones of skull and face,none
hiv disease resulting in multiple malignant neoplasms,none
other severe and complicated plasmodium falciparum malaria,none
occupant [any] of pick-up truck or van injured in unspecified traffic accident,none
idiopathic peripheral autonomic neuropathy,none
acute pansinusitis,none
carcinoma in situ other specified digestive organs,none
zoster with other complications,none
benign lipomatous neoplasm of skin and subcutaneous tissue of head face and neck,none
umbilical hernia with obstruction without gangrene,none
viral intestinal infection unspecified,none
other secondary parkinsonism,none
other specified abdominal hernia with gangrene,none
other viral pneumonia,none
background retinopathy and retinal vascular changes,none
combined immunodeficiency unspecified,none
orchitis epididymitis and epididymo-orchitis without abscess,none
cervical disc disorder unspecified,none
other congenital malformations of renal artery,none
other nonpowered-aircraft accidents injuring occupant,none
covid-19 multisystem inflammatory syndrome associated with covid-19,none
cellulitis and abscess of mouth,none
acute renal failure with medullary necrosis,none
other bursitis of hip,none
unspecified aircraft accident injuring occupant,none
spinal muscular atrophy unspecified,none
chronic vascular disorders of intestine,none
rupture of uterus during labour,none
benign lipomatous neoplasm unspecified,none
other disorders of globe,none
carcinoma in situ oesophagus,esophageal cancer
anticoagulants,none
bilateral femoral hernia with obstruction without gangrene,none
pneumoconiosis due to other specified inorganic dusts,none
fetus and newborn affected by other maternal complications of pregnancy,none
myeloid sarcoma,none
carcinoma in situ thyroid and other endocrine glands,none
anorexia,none
chronic nephritic syndrome diffuse mesangiocapillary glomerulonephritis,none
disorder of male genital organs unspecified,none
essential thrombocytosis - from 2008 classification,none
congenital deformity of spine,none
generalized pustular psoriasis,none
cramp and spasm,none
unspecified diabetes mellitus with coma,none
hydrocele unspecified,none
unspecified abdominal hernia with obstruction without gangrene,none
psoriasis unspecified,none
other viral infections of unspecified site,none
fetus and newborn affected by chorioamnionitis,none
tuberculous pleurisy without mention of bacteriological or histological confirmation,none
echinococcosis other and unspecified,none
chromosomal abnormality unspecified,none
other childhood disintegrative disorder,none
congenital absence atresia and stenosis of small intestine part unspecified,none
atopic dermatitis unspecified,none
hiv disease resulting in candidiasis,none
dissection of cerebral arteries nonruptured,cerebrovascular disease
disease of pancreas unspecified,none
renal hypoplasia unspecified,none
severe depressive episode with psychotic symptoms,none
paroxysmal nocturnal haemoglobinuria [marchiafava-micheli],none
arteriovenous fistula of pulmonary vessels,none
other specified diseases of pancreas,none
malignant neoplasm connective and soft tissue of head face and neck,none
congenital hypotonia,none
neoplasm of uncertain or unknown behaviour endocrine gland unspecified,none
person injured in collision between railway train or railway vehicle and car traffic,none
peripheral arteriovenous malformation,none
other cushing syndrome,none
phlebitis and thrombophlebitis of lower extremities unspecified,none
periodontosis,none
mental and behavioural disorders due to use of alcohol dependence syndrome,none
malignant neoplasm choroid,none
internal haemorrhoids with other complications until 2013 - then moved to k64,none
rapidly progressive nephritic syndrome diffuse crescentic glomerulonephritis,none
primary hyperparathyroidism,none
contaminated medical or biological substance transfused or infused,none
congenital malformation syndromes predominantly associated with short stature,none
fetus and newborn affected by oligohydramnios,none
diseases of mediastinum not elsewhere classified,none
non-insulin-dependent diabetes mellitus with neurological complications,none
grand mal seizures unspecified with or without petit mal,none
malignant neoplasm meckel diverticulum,none
rett syndrome,none
somatoform autonomic dysfunction,none
malignant neoplasm specified parts of peritoneum,none
erythema annulare centrifugum,none
hydronephrosis with renal and ureteral calculous obstruction,none
benign neoplasm extrahepatic bile ducts,none
neoplasm of uncertain or unknown behaviour colon,colorectal cancer
siderosis,none
disorder of muscle unspecified,none
unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in traffic accident,none
congenital insufficiency of aortic valve,none
during other surgical and medical care,none
unspecified chronic respiratory disease originating in the perinatal period,none
acute transverse myelitis in demyelinating disease of central nervous system,none
amoebic liver abscess,none
pneumonia due to mycoplasma pneumoniae,none
heart disease unspecified,none
unifocal langerhans-cell histiocytosis,none
biliary cyst,none
umbilical hernia without obstruction or gangrene,none
acute and subacute hepatic failure,none
mental and behavioural disorders due to use of other stimulants including caffeine dependence syndrome,none
other dermatomyositis,none
other multiple gestation,none
radiological procedure and radiotherapy,none
mild hyperemesis gravidarum,none
hypomania,none
sick sinus syndrome,none
congenital hydronephrosis,none
chronic myeloid leukaemia [cml] bcr/abl-positive,none
rheumatic heart disease unspecified,none
car occupant injured in collision with heavy transport vehicle or bus driver injured in traffic accident,none
other chronic hepatitis not elsewhere classified,none
nephropathy induced by heavy metals,none
malignant neoplasm skin of trunk,none
drug or medicament unspecified,none
rheumatoid vasculitis,none
major histocompatibility complex class ii deficiency,none
lymphosarcoma - from 2008,none
alcohol-induced chronic pancreatitis,none
fever unspecified,none
unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident,none
streptococcal sepsis unspecified,none
cytomegaloviral pneumonitis,none
rupture of uterus before onset of labour,none
benign neoplasm connective and other soft tissue of lower limb including hip,none
hypoglycaemia unspecified,none
duodenal ulcer chronic without haemorrhage or perforation,none
urethral fistula,none
deep phlebothrombosis in the puerperium,none
fetus and newborn affected by other and unspecified conditions of umbilical cord,none
stenosis of larynx,none
salmonella enteritis,none
alcoholic polyneuropathy,none
anoxic brain damage not elsewhere classified,none
multifocal and unisystemic langerhans-cell histiocytosis,none
malignant neoplasm overlapping lesion of accessory sinuses,none
discoid lupus erythematosus,none
hypertensive heart and renal disease unspecified,none
congenital laryngomalacia,none
scoliosis unspecified,none
bus occupant injured in collision with fixed or stationary object driver injured in traffic accident,none
kidney dialysis,none
benign neoplasm brain infratentorial,none
other atrophic disorders of skin,none
cardiogenic shock,none
episcleritis,none
histiocytic sarcoma,none
paraplegia unspecified,none
hiv disease resulting in other specified conditions,none
acute transmural myocardial infarction of unspecified site,ischaemic heart disease
car occupant injured in collision with car pick-up truck or van unspecified car occupant injured in nontraffic accident,none
irradiation cystitis,none
occupant of pick-up truck or van injured in collision with fixed or stationary object driver injured in traffic accident,none
polyp of stomach and duodenum,none
other specified bacterial intestinal infections,none
malignant neoplasm extrahepatic bile duct,none
malignant neoplasm hepatoblastoma,none
congenital malformation of digestive system unspecified,none
person injured while boarding or alighting from railway train or railway vehicle,none
other specified viral diseases,none
polyp of corpus uteri,none
iron preparations and other anti-hypochromic-anaemia preparations,none
adenoviral encephalitis,none
intracerebral haemorrhage in hemisphere unspecified,cerebrovascular disease
malignant neoplasm connective and soft tissue of abdomen,none
other specified disorders of synovium and tendon,none
other forms of scoliosis,none
calculus of prostate,none
pulmonary nocardiosis,none
allergic purpura,none
cor triatriatum,none
embolism and thrombosis of other specified veins,none
disorders of sulfur-bearing amino-acid metabolism,none
hearing loss unspecified,none
communicating hydrocephalus,none
diphtheria unspecified,none
other congenital malformations of pulmonary valve,none
other congenital malformations of aortic and mitral valves,none
