cause_of_death,category_gpt_4o_mini,category_gpt_4o,category_consensus,consensus_no,without_consensus,category_unanimous_consensus,category_human
myocarditis unspecified,none,none,none,2,False,none,none
occupant of pick-up truck or van injured in collision with pedestrian or animal driver injured in traffic accident,none,none,none,2,False,none,none
lichen simplex chronicus,none,none,none,2,False,none,none
small cell b-cell lymphoma,none,none,none,2,False,none,none
erythema intertrigo,none,none,none,2,False,none,none
renal and perinephric abscess,none,none,none,2,False,none,none
other congenital viral diseases,none,none,none,2,False,none,none
gastro-oesophageal laceration-haemorrhage syndrome,none,none,none,2,False,none,none
mental and behavioural disorders due to use of cannabinoids unspecified mental and behavioural disorder,none,none,none,2,False,none,none
other specified congenital malformations of peripheral vascular system,none,none,none,2,False,none,none
acute pulmonary manifestations due to radiation,none,pulmonary disease,pulmonary disease,1,True,,none
pulmonary cryptococcosis,none,none,none,2,False,none,none
narcolepsy and cataplexy,none,none,none,2,False,none,none
cholangitis,none,none,none,2,False,none,none
radiculopathy,none,none,none,2,False,none,none
cyst of kidney acquired,none,none,none,2,False,none,none
orthostatic hypotension,none,none,none,2,False,none,none
insulin-dependent diabetes mellitus with coma,none,none,none,2,False,none,none
accident to watercraft causing other injury other powered watercraft,none,none,none,2,False,none,none
occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object person injured while boarding or alighting,none,none,none,2,False,none,none
polymyositis,none,none,none,2,False,none,none
accident on board watercraft without accident to watercraft not causing drowning and submersion merchant ship,none,none,none,2,False,none,none
disorder of pituitary gland unspecified,none,none,none,2,False,none,none
monocytic leukaemia unspecified,none,none,none,2,False,none,none
benign neoplasm vertebral column,none,none,none,2,False,none,none
other female genital prolapse,none,none,none,2,False,none,none
berylliosis,none,none,none,2,False,none,none
polyclonal hypergammaglobulinaemia,none,none,none,2,False,none,none
hydronephrosis with ureteropelvic junction obstruction,none,none,none,2,False,none,none
occupant of three-wheeled motor vehicle injured in noncollision transport accident passenger injured in nontraffic accident,none,none,none,2,False,none,none
pedal cyclist injured in collision with fixed or stationary object driver injured in traffic accident,none,none,none,2,False,none,none
endocrine disorder unspecified,none,none,none,2,False,none,none
cyst of pancreas,none,none,none,2,False,none,none
unspecified occupant of special construction vehicle injured in nontraffic accident,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour central nervous system unspecified,none,none,none,2,False,none,none
soft tissue disorder unspecified,none,none,none,2,False,none,none
inflammatory liver disease unspecified,none,none,none,2,False,none,none
disease of blood and blood-forming organs unspecified,none,none,none,2,False,none,none
acute suppurative otitis media,none,none,none,2,False,none,none
iliac crest spur,none,none,none,2,False,none,none
other congenital malformations of diaphragm,none,none,none,2,False,none,none
other inflammatory polyneuropathies,none,none,none,2,False,none,none
benign neoplasm skin of lower limb including hip,none,none,none,2,False,none,none
arteriovenous malformation of cerebral vessels,none,none,none,2,False,none,none
muscular dystrophy,none,none,none,2,False,none,none
primary cutaneous cd30-positive t-cell proliferations,none,none,none,2,False,none,none
malignant neoplasm tonsillar pillar anteriorposterior,none,oral cavity cancer,oral cavity cancer,1,True,,oral cavity cancer
lichen sclerosus et atrophicus,none,none,none,2,False,none,none
malignant neoplasm overlapping lesion of bladder,bladder cancer,bladder cancer,bladder cancer,2,False,bladder cancer,bladder cancer
hereditary haemolytic anaemia unspecified,none,none,none,2,False,none,none
progressive systemic sclerosis,none,none,none,2,False,none,none
alcoholic fatty liver,none,none,none,2,False,none,none
primary hyperaldosteronism,none,none,none,2,False,none,none
delirium superimposed on dementia,none,none,none,2,False,none,none
nonrheumatic tricuspid valve disorder unspecified,none,none,none,2,False,none,none
mycosis fungoides,none,none,none,2,False,none,none
gastro-oesophageal reflux disease without oesophagitis,none,none,none,2,False,none,none
kinking and stricture of ureter without hydronephrosis,none,none,none,2,False,none,none
panniculitis unspecified,none,none,none,2,False,none,none
cranial nerve disorder unspecified,none,none,none,2,False,none,none
cerebral palsy unspecified,none,none,none,2,False,none,none
neuronal ceroid lipofuscinosis,none,none,none,2,False,none,none
lipomatosis not elsewhere classified,none,none,none,2,False,none,none
hyperglycaemia unspecified,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour small intestine,none,none,none,2,False,none,none
oral mucositis ulcerative,none,none,none,2,False,none,none
autoimmune hepatitis,none,none,none,2,False,none,none
coagulation defect unspecified,none,none,none,2,False,none,none
other and unspecified lesions of oral mucosa,none,none,none,2,False,none,none
pedestrian injured in collision with railway train or railway vehicle traffic accident,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour spinal cord,none,none,none,2,False,none,none
other specified congenital malformations of face and neck,none,none,none,2,False,none,none
other specified diseases of jaws,none,none,none,2,False,none,none
endocrine nutritional and metabolic diseases complicating pregnancy childbirth and the puerperium,none,none,none,2,False,none,none
cerebral venous thrombosis in pregnancy,none,none,none,2,False,none,cerebrovascular disease
rheumatism unspecified,none,none,none,2,False,none,none
functional intestinal disorder unspecified,none,none,none,2,False,none,none
iron deficiency,none,none,none,2,False,none,none
cardiovascular disease unspecified,none,none,none,2,False,none,none
other congenital malformations of musculoskeletal system,none,none,none,2,False,none,none
aspergillosis unspecified,none,none,none,2,False,none,none
secondary malignant neoplasm of other and unspecified digestive organs,none,none,none,2,False,none,none
other specified anaemias,none,none,none,2,False,none,none
mitral valve prolapse,none,none,none,2,False,none,none
umbilical hernia with gangrene,none,none,none,2,False,none,none
malignant neoplasm border of tongue,oral cavity cancer,oral cavity cancer,oral cavity cancer,2,False,oral cavity cancer,oral cavity cancer
molybdenum deficiency,none,none,none,2,False,none,none
nodular lymphocyte predominant hodgkin lymphoma,none,none,none,2,False,none,none
motorcycle rider injured in noncollision transport accident driver injured in traffic accident,none,none,none,2,False,none,none
chronic meningitis,none,none,none,2,False,none,none
developmental disorder of scholastic skills unspecified,none,none,none,2,False,none,none
deficiency of other specified b group vitamins,none,none,none,2,False,none,none
polycystic kidney autosomal dominant,none,none,none,2,False,none,none
coarctation of aorta,none,none,none,2,False,none,none
other diseases of pharynx,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour renal pelvis,none,none,none,2,False,none,none
mucopolysaccharidosis unspecified,none,none,none,2,False,none,none
ulcer of oesophagus,esophageal cancer,esophageal cancer,esophageal cancer,2,False,esophageal cancer,none
other chronic respiratory diseases originating in the perinatal period,none,none,none,2,False,none,none
cutaneous abscess furuncle and carbuncle of face,none,none,none,2,False,none,none
cerebral infarction unspecified,cerebrovascular disease,cerebrovascular disease,cerebrovascular disease,2,False,cerebrovascular disease,cerebrovascular disease
car occupant injured in collision with fixed or stationary object unspecified car occupant injured in traffic accident,none,none,none,2,False,none,none
cerebral infarction due to cerebral venous thrombosis nonpyogenic,cerebrovascular disease,cerebrovascular disease,cerebrovascular disease,2,False,cerebrovascular disease,cerebrovascular disease
autoimmune polyglandular failure,none,none,none,2,False,none,none
kaposi sarcoma of other sites,none,none,none,2,False,none,none
other streptococcal arthritis and polyarthritis,none,none,none,2,False,none,none
disorder of autonomic nervous system unspecified,none,none,none,2,False,none,none
paranoid schizophrenia,none,none,none,2,False,none,none
noninflammatory disorder of uterus unspecified,none,none,none,2,False,none,none
female acute pelvic peritonitis,none,none,none,2,False,none,none
malignant neoplasm retromolar area,none,oral cavity cancer,oral cavity cancer,1,True,,oral cavity cancer
peptic ulcer site unspecified unspecified as acute or chronic without haemorrhage or perforation,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour carotid body,none,none,none,2,False,none,none
other hypoglycaemia,none,none,none,2,False,none,none
wernicke encephalopathy,none,none,none,2,False,none,none
congenital mitral insufficiency,none,none,none,2,False,none,none
zoster ocular disease,none,none,none,2,False,none,none
neuromyelitis optica [devic],none,none,none,2,False,none,none
edwards syndrome unspecified,none,none,none,2,False,none,none
interstitial cystitis chronic,none,none,none,2,False,none,none
unspecified nephritic syndrome diffuse crescentic glomerulonephritis,none,none,none,2,False,none,none
other specified respiratory disorders,none,pulmonary disease,pulmonary disease,1,True,,none
isomerism of atrial appendages,none,none,none,2,False,none,none
hiv disease resulting in other viral infections,none,none,none,2,False,none,none
other specified disorders involving the immune mechanism not elsewhere classified,none,none,none,2,False,none,none
malignant neoplasm glans penis,none,none,none,2,False,none,none
peptic ulcer site unspecified chronic or unspecified with perforation,none,none,none,2,False,none,none
car occupant injured in collision with two- or three-wheeled motor vehicle driver injured in traffic accident,none,none,none,2,False,none,none
embolism and thrombosis of other arteries,none,none,none,2,False,none,none
other bacterial meningitis,none,none,none,2,False,none,none
other chronic osteomyelitis,none,none,none,2,False,none,none
parvovirus infection unspecified site,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour respiratory organ unspecified,none,none,none,2,False,none,none
progressive vascular leukoencephalopathy,none,none,none,2,False,none,cerebrovascular disease
other female urinary-genital tract fistulae,none,none,none,2,False,none,none
disorder of teeth and supporting structures unspecified,none,none,none,2,False,none,none
giardiasis [lambliasis],none,none,none,2,False,none,none
other osteomyelitis,none,none,none,2,False,none,none
disorders of lysine and hydroxylysine metabolism,none,none,none,2,False,none,none
localized enlarged lymph nodes,none,none,none,2,False,none,none
extramedullary plasmacytoma,none,none,none,2,False,none,none
polycystic kidney autosomal recessive,none,none,none,2,False,none,none
epidermal thickening unspecified,none,none,none,2,False,none,none
other specified diseases of anus and rectum,none,none,none,2,False,none,none
acute miliary tuberculosis unspecified,none,none,none,2,False,none,none
malignant neoplasm branchial cleft,none,none,none,2,False,none,none
other benign neoplasm corpus uteri,none,none,none,2,False,none,none
generalized idiopathic epilepsy and epileptic syndromes,none,none,none,2,False,none,none
malignant neoplasm endocervix,none,none,none,2,False,none,none
sepsis of newborn due to other and unspecified streptococci,none,none,none,2,False,none,none
sequelae of cerebral infarction,none,cerebrovascular disease,cerebrovascular disease,1,True,,cerebrovascular disease
aortic arch syndrome [takayasu],none,none,none,2,False,none,none
mesothelioma of peritoneum,none,none,none,2,False,none,none
cardiomegaly,none,ischaemic heart disease,ischaemic heart disease,1,True,,none
stage iii decubitus ulcer and pressure area from 2014 onwards,none,none,none,2,False,none,none
secondary malignant neoplasm of skin,none,none,none,2,False,none,none
phlebitis and thrombophlebitis of femoral vein,none,none,none,2,False,none,none
cervical root disorders not elsewhere classified,none,none,none,2,False,none,none
pulmonary histoplasmosis capsulati unspecified,none,none,none,2,False,none,none
abdominal aortic aneurysm without mention of rupture,none,none,none,2,False,none,none
demyelinating disease of central nervous system unspecified,none,none,none,2,False,none,none
neuromuscular scoliosis,none,none,none,2,False,none,none
congenital complete absence of upper limbs,none,none,none,2,False,none,none
non-follicular diffuse lymphoma unspecified,none,none,none,2,False,none,none
malignant neoplasm peripheral nerves of pelvis,none,none,none,2,False,none,none
other specified soft tissue disorders,none,none,none,2,False,none,none
motorcycle rider injured in collision with railway train or railway vehicle driver injured in traffic accident,none,none,none,2,False,none,none
rheumatoid lung disease,none,pulmonary disease,pulmonary disease,1,True,,pulmonary disease
fetus and newborn affected by prolapsed cord,none,none,none,2,False,none,none
other retinal artery occlusions,none,none,none,2,False,none,none
malignant neoplasm connective and soft tissue of lower limb including hip,none,none,none,2,False,none,none
necrotizing fasciitis,none,none,none,2,False,none,none
acute panmyelosis with myelofibrosis,none,none,none,2,False,none,none
peptic ulcer site unspecified acute with perforation,none,none,none,2,False,none,none
malignant neoplasm descending colon,colorectal cancer,colorectal cancer,colorectal cancer,2,False,colorectal cancer,colorectal cancer
occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle driver injured in nontraffic accident,none,none,none,2,False,none,none
hypertensive heart and renal disease with renal failure,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour placenta,none,none,none,2,False,none,none
oesophageal obstruction,none,none,none,2,False,none,none
metabolic disorder unspecified,none,none,none,2,False,none,none
malignant neoplasm meninges unspecified,none,none,none,2,False,none,none
echinococcus multilocularis infection unspecified,none,none,none,2,False,none,none
malignant neoplasm posterior wall of oropharynx,oral cavity cancer,oral cavity cancer,oral cavity cancer,2,False,oral cavity cancer,none
mitral stenosis,none,none,none,2,False,none,none
benign neoplasm parotid gland,none,none,none,2,False,none,none
nonspecific intraventricular block,none,none,none,2,False,none,none
strongyloidiasis unspecified,none,none,none,2,False,none,none
mature t/nk-cell lymphoma unspecified,none,none,none,2,False,none,none
other disorders of vestibular function,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour brain supratentorial,none,none,none,2,False,none,none
car occupant injured in collision with car pick-up truck or van driver injured in traffic accident,none,none,none,2,False,none,none
occupant of pick-up truck or van injured in noncollision transport accident person on outside of vehicle injured in traffic accident,none,none,none,2,False,none,none
legal execution,none,none,none,2,False,none,none
ankylosing hyperostosis [forestier],none,none,none,2,False,none,none
fetus and newborn affected by maternal renal and urinary tract diseases,none,none,none,2,False,none,none
car occupant injured in collision with heavy transport vehicle or bus unspecified car occupant injured in traffic accident,none,none,none,2,False,none,none
plasmodium falciparum malaria with cerebral complications,none,none,none,2,False,none,none
anomalous pulmonary venous connection unspecified,none,none,none,2,False,none,none
other specified diseases of gallbladder,none,none,none,2,False,none,none
disorders of zinc metabolism,none,none,none,2,False,none,none
unilateral or unspecified femoral hernia with obstruction without gangrene,none,none,none,2,False,none,none
infective pericarditis,none,none,none,2,False,none,none
person on outside of all-terrain or other off-road motor vehicle injured in traffic accident,none,none,none,2,False,none,none
lymphoblastic diffuse lymphoma,none,none,none,2,False,none,none
other preterm infants,none,none,none,2,False,none,none
other specified paralytic syndromes,none,none,none,2,False,none,none
mumps encephalitis,none,none,none,2,False,none,none
abscess of lung with pneumonia,none,none,none,2,False,none,pulmonary disease
driver of all-terrain or other off-road motor vehicle injured in nontraffic accident,none,none,none,2,False,none,none
mental and behavioural disorders due to use of cocaine dependence syndrome,none,none,none,2,False,none,none
supraventricular tachycardia,none,none,none,2,False,none,none
megacolon not elsewhere classified,none,none,none,2,False,none,none
nontoxic multinodular goitre,none,none,none,2,False,none,none
malignant neoplasm skin of upper limb including shoulder,none,none,none,2,False,none,none
hypertensive renal disease with renal failure,none,none,none,2,False,none,none
benign paroxysmal vertigo,none,none,none,2,False,none,none
vascular dementia of acute onset,none,none,none,2,False,none,cerebrovascular disease
water-transport-related drowning and submersion without accident to watercraft sailboat,none,none,none,2,False,none,none
unspecified diabetes mellitus with peripheral circulatory complications,none,none,none,2,False,none,none
pneumoconiosis due to talc dust,none,none,none,2,False,none,none
necrotizing vasculopathy unspecified,none,none,none,2,False,none,none
sepsis due to anaerobes,none,none,none,2,False,none,none
measles complicated by pneumonia,none,none,none,2,False,none,none
hereditary nephropathy not elsewhere classified diffuse mesangiocapillary glomerulonephritis,none,none,none,2,False,none,none
other disorders of electrolyte and fluid balance not elsewhere classified,none,none,none,2,False,none,none
acute appendicitis other and unspecified,none,none,none,2,False,none,none
acute bronchiolitis due to human metapneumovirus,none,none,none,2,False,none,none
haemangioma any site,none,none,none,2,False,none,none
organic personality disorder,none,none,none,2,False,none,none
other infective spondylopathies,none,none,none,2,False,none,none
non-hodgkin lymphoma unspecified,none,none,none,2,False,none,none
pasteurellosis,none,none,none,2,False,none,none
mandibulofacial dysostosis,none,none,none,2,False,none,none
other forms of herpesviral infection,none,none,none,2,False,none,none
cyst and mucocele of nose and nasal sinus,none,none,none,2,False,none,none
disorders of multiple cranial nerves,none,none,none,2,False,none,none
torticollis,none,none,none,2,False,none,none
cerebrovascular disease unspecified,cerebrovascular disease,cerebrovascular disease,cerebrovascular disease,2,False,cerebrovascular disease,cerebrovascular disease
mental and behavioural disorders due to multiple drug use and use of other psychoactive substances unspecified mental and behavioural disorder,none,none,none,2,False,none,none
other histiocytosis syndromes,none,none,none,2,False,none,none
subarachnoid haemorrhage from anterior communicating artery,none,none,none,2,False,none,cerebrovascular disease
vesical fistula not elsewhere classified,none,none,none,2,False,none,none
other and unspecified water transport accidents other unpowered watercraft,none,none,none,2,False,none,none
unspecified diabetes mellitus without complications,none,none,none,2,False,none,none
acute bronchiolitis unspecified,none,pulmonary disease,pulmonary disease,1,True,,pulmonary disease
alcoholic liver disease unspecified,none,none,none,2,False,none,none
gastric ulcer acute without haemorrhage or perforation,none,none,none,2,False,none,none
benign neoplasm oesophagus,none,none,none,2,False,none,none
hyperlipidaemia unspecified,none,none,none,2,False,none,none
normal-pressure hydrocephalus,none,none,none,2,False,none,none
other inflammatory diseases of prostate,none,none,none,2,False,none,none
postpartum coagulation defects,none,none,none,2,False,none,none
lymphoedema not elsewhere classified,none,none,none,2,False,none,none
other diseases of spleen,none,none,none,2,False,none,none
malignant neoplasm body of penis,none,none,none,2,False,none,none
granuloma and granuloma-like lesions of oral mucosa,none,none,none,2,False,none,none
fetus and newborn affected by maternal use of drugs of addiction,none,none,none,2,False,none,none
hydantoin derivatives,none,none,none,2,False,none,none
cutaneous abscess furuncle and carbuncle of limb,none,none,none,2,False,none,none
abnormal uterine and vaginal bleeding unspecified,none,none,none,2,False,none,none
malignant neoplasm of other and ill-defined sites overlapping lesion of other and ill-defined sites,none,none,none,2,False,none,none
peptic ulcer site unspecified chronic without haemorrhage or perforation,none,none,none,2,False,none,none
mediastinal thymic large b-cell lymphoma,none,none,none,2,False,none,none
kyphoscoliotic heart disease,none,none,none,2,False,none,none
hiv disease resulting in wasting syndrome,none,none,none,2,False,none,none
acute inflammatory disease of uterus,none,none,none,2,False,none,none
nonspecific urethritis,none,none,none,2,False,none,none
other congenital malformations of pancreas and pancreatic duct,none,none,none,2,False,none,none
occupant of three-wheeled motor vehicle injured in collision with car pick-up truck or van person injured while boarding or alighting,none,none,none,2,False,none,none
paranoid personality disorder,none,none,none,2,False,none,none
cerebral aneurysm nonruptured,none,none,none,2,False,none,cerebrovascular disease
ileus unspecified,none,none,none,2,False,none,none
aplastic anaemia unspecified,none,none,none,2,False,none,none
hypo-osmolality and hyponatraemia,none,none,none,2,False,none,none
benign neoplasm pituitary gland,none,none,none,2,False,none,none
person on outside of special agricultural vehicle injured in nontraffic accident,none,none,none,2,False,none,none
chronic inflammation of lacrimal passages,none,none,none,2,False,none,none
subcorneal pustular dermatitis,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour kidney,kidney cancer,kidney cancer,kidney cancer,2,False,kidney cancer,kidney cancer
congenital posterior urethral valves,none,none,none,2,False,none,none
unspecified visual impairment binocular,none,none,none,2,False,none,none
presbyopia,none,none,none,2,False,none,none
disease of pericardium unspecified,none,none,none,2,False,none,none
ichthyosis vulgaris,none,none,none,2,False,none,none
special epileptic syndromes,none,none,none,2,False,none,none
abscess furuncle and carbuncle of nose,none,none,none,2,False,none,none
hypothalamic dysfunction not elsewhere classified,none,none,none,2,False,none,none
inflammatory polyneuropathy unspecified,none,none,none,2,False,none,none
mixed cortical and subcortical vascular dementia,none,none,none,2,False,none,cerebrovascular disease
other forms of systemic lupus erythematosus,none,none,none,2,False,none,none
erythrasma,none,none,none,2,False,none,none
disease of biliary tract unspecified,none,none,none,2,False,none,none
pneumonia due to staphylococcus,none,none,none,2,False,none,none
cellulitis of external ear,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour other respiratory organs,none,none,none,2,False,none,none
haemorrhage from other sites in respiratory passages,none,none,none,2,False,none,none
mental and behavioural disorders due to use of tobacco unspecified mental and behavioural disorder,none,none,none,2,False,none,none
cerebral oedema,none,none,none,2,False,none,none
malignant neoplasm carotid body,none,none,none,2,False,none,none
congenital malformation of stomach unspecified,none,none,none,2,False,none,none
malignant neoplasm brain unspecified,none,none,none,2,False,none,none
striatonigral degeneration,none,none,none,2,False,none,none
coxarthrosis unspecified,none,none,none,2,False,none,none
toxoplasmosis with other organ involvement,none,none,none,2,False,none,none
benign neoplasm connective and other soft tissue of abdomen,none,none,none,2,False,none,none
constipation,none,none,none,2,False,none,none
hiv disease resulting in mycobacterial infection,none,none,none,2,False,none,none
spondylolisthesis,none,none,none,2,False,none,none
malignant neoplasm tail of pancreas,pancreatic cancer,pancreatic cancer,pancreatic cancer,2,False,pancreatic cancer,pancreatic cancer
other symptomatic late syphilis,none,none,none,2,False,none,none
carotid artery syndrome hemispheric,none,cerebrovascular disease,cerebrovascular disease,1,True,,cerebrovascular disease
benign neoplasm colon unspecified,none,none,none,2,False,none,none
driver of special industrial vehicle injured in nontraffic accident,none,none,none,2,False,none,none
chronic kidney disease stage 5,none,none,none,2,False,none,none
peripheral t-cell lymphoma not classified,none,none,none,2,False,none,none
during heart catheterization,none,none,none,2,False,none,none
unspecified diabetes mellitus with ophthalmic complications,none,none,none,2,False,none,none
endomyocardial eosinophilic disease,none,none,none,2,False,none,none
contracture of muscle,none,none,none,2,False,none,none
irritable bowel syndrome with diarrhoea,none,none,none,2,False,none,none
ulcerative chronic proctitis,none,none,none,2,False,none,none
mesothelioma of pericardium,none,none,none,2,False,none,none
sequelae of adverse incidents associated with medical devices in diagnostic and therapeutic use,none,none,none,2,False,none,none
other amnesia,none,none,none,2,False,none,none
tuberculous meningitis,none,none,none,2,False,none,none
benign neoplasm bone and articular cartilage unspecified,none,none,none,2,False,none,none
sepsis due to unspecified staphylococcus,none,none,none,2,False,none,none
bullous erythema multiforme,none,none,none,2,False,none,none
malignant neoplasm middle ear,none,none,none,2,False,none,none
malignant neoplasm urachus,none,none,none,2,False,none,bladder cancer
unspecified occupant of special industrial vehicle injured in nontraffic accident,none,none,none,2,False,none,none
other specified congenital malformations of intestine,none,none,none,2,False,none,none
defects in glycoprotein degradation,none,none,none,2,False,none,none
streptococcal pharyngitis,none,none,none,2,False,none,none
mixed small and large cell difuse - 2008 version,none,none,none,2,False,none,none
malignant immunoproliferative disease unspecified,none,none,none,2,False,none,none
other and unspecified medical devices associated with adverse incidents therapeutic nonsurgical and rehabilitative devices,none,none,none,2,False,none,none
rhinocerebral mucormycosis,none,none,none,2,False,none,none
mnire disease,none,none,none,2,False,none,none
other disorders of autonomic nervous system,none,none,none,2,False,none,none
benign lipomatous neoplasm of intra-abdominal organs,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour meninges unspecified,none,none,none,2,False,none,none
other congenital malformations of abdominal wall,none,none,none,2,False,none,none
brucellosis unspecified,none,none,none,2,False,none,none
other specified diseases of intestine,none,none,none,2,False,none,none
mental disorders and diseases of the nervous system complicating pregnancy childbirth and the puerperium,none,none,none,2,False,none,none
other specified disorders of skin and subcutaneous tissue,none,none,none,2,False,none,none
covid-19 virus not identified,none,none,none,2,False,none,none
spondylopathy unspecified,none,none,none,2,False,none,none
mycobacterial infection unspecified,none,none,none,2,False,none,none
vitamin b12 deficiency anaemia due to intrinsic factor deficiency,none,none,none,2,False,none,none
excessive and frequent menstruation with regular cycle,none,none,none,2,False,none,none
sepsis due to streptococcus group b,none,none,none,2,False,none,none
obstructive hypertrophic cardiomyopathy,none,none,none,2,False,none,none
parenteral anaesthetics,none,none,none,2,False,none,none
metaphyseal dysplasia,none,none,none,2,False,none,none
hairy-cell leukaemia,none,none,none,2,False,none,none
malignent histiocytosis - from 2008 classification,none,none,none,2,False,none,none
residual schizophrenia,none,none,none,2,False,none,none
ectopic pregnancy unspecified,none,none,none,2,False,none,none
deforming dorsopathy unspecified,none,none,none,2,False,none,none
pedal cyclist [any] injured in unspecified traffic accident,none,none,none,2,False,none,none
malignant neoplasm of other and ill-defined sites upper limb,none,none,none,2,False,none,none
malignant neoplasm of lymphoid haematopoietic and related tissue unspecified,none,none,none,2,False,none,none
other congenital malformations of ureter,none,none,none,2,False,none,none
pneumonitis due to oils and essences,none,none,none,2,False,none,none
creutzfeldt-jakob disease,none,none,none,2,False,none,none
acute monoblastic/monocytic leukaemia,none,acute myeloid leukemia,acute myeloid leukemia,1,True,,acute myeloid leukemia
motorcycle rider [any] injured in other specified transport accidents,none,none,none,2,False,none,none
infections of the genital tract in pregnancy,none,none,none,2,False,none,none
secondary hypertension unspecified,none,none,none,2,False,none,none
intra-abdominal and pelvic swelling mass and lump,none,none,none,2,False,none,none
glossitis,none,none,none,2,False,none,none
female pelvic peritonitis unspecified,none,none,none,2,False,none,none
other hyperparathyroidism,none,none,none,2,False,none,none
other specified degenerative diseases of basal ganglia,none,none,none,2,False,none,none
mental and behavioural disorders due to use of cannabinoids harmful use,none,none,none,2,False,none,none
accident to watercraft causing drowning and submersion fishing boat,none,none,none,2,False,none,none
benign neoplasm liver,none,none,none,2,False,none,none
intracranial abscess and granuloma,none,none,none,2,False,none,none
hypoxic ischaemic encephalopathy of newborn,none,none,none,2,False,none,none
driver of special construction vehicle injured in traffic accident,none,none,none,2,False,none,none
other specified congenital malformations of skin,none,none,none,2,False,none,none
mucopolysaccharidosis type i,none,none,none,2,False,none,none
occupant of pick-up truck or van injured in collision with fixed or stationary object passenger injured in traffic accident,none,none,none,2,False,none,none
parainfluenza virus pneumonia,none,none,none,2,False,none,none
bronchitis and pneumonitis due to chemicals gases fumes and vapours,pulmonary disease,none,pulmonary disease,1,True,,none
water-transport-related drowning and submersion without accident to watercraft other powered watercraft,none,none,none,2,False,none,none
pedal cyclist injured in collision with two- or three-wheeled motor vehicle driver injured in nontraffic accident,none,none,none,2,False,none,none
toxic liver disease with hepatitis not elsewhere classified,none,none,none,2,False,none,none
tetraplegia unspecified,none,none,none,2,False,none,none
hiv disease resulting in other infectious and parasitic diseases,none,none,none,2,False,none,none
clonic hemifacial spasm,none,none,none,2,False,none,none
tuberculosis complicating pregnancy childbirth and the puerperium,none,none,none,2,False,none,none
embolism and thrombosis of unspecified vein,none,none,none,2,False,none,none
secondary malignant neoplasm of ovary,none,none,none,2,False,none,none
respiratory failure unspecified,none,pulmonary disease,pulmonary disease,1,True,,pulmonary disease
nephrotic syndrome unspecified,none,none,none,2,False,none,none
malignant neoplasm hard palate,none,oral cavity cancer,oral cavity cancer,1,True,,oral cavity cancer
chronic kidney disease unspecified,none,none,none,2,False,none,none
nonrheumatic tricuspid valve insufficiency,none,none,none,2,False,none,none
cutaneous nocardiosis,none,none,none,2,False,none,none
acute nephritic syndrome other,none,none,none,2,False,none,none
hypersensitivity pneumonitis due to other organic dusts,none,none,none,2,False,none,none
neonatal aspiration of meconium,none,none,none,2,False,none,none
indeterminate colitis,none,none,none,2,False,none,none
klippel-feil syndrome,none,none,none,2,False,none,none
car occupant injured in noncollision transport accident person on outside of vehicle injured in traffic accident,none,none,none,2,False,none,none
other combined immunodeficiencies,none,none,none,2,False,none,none
hereditary ataxia unspecified,none,none,none,2,False,none,none
ventricular premature depolarization,none,none,none,2,False,none,none
other congenital malformations of oesophagus,none,none,none,2,False,none,none
other aircraft accidents injuring occupant,none,none,none,2,False,none,none
deficiency of vitamin k,none,none,none,2,False,none,none
other cervical disc displacement,none,none,none,2,False,none,none
hypertensive renal disease without renal failure,none,none,none,2,False,none,none
turner syndrome unspecified,none,none,none,2,False,none,none
benign neoplasm middle ear nasal cavity and accessory sinuses,none,none,none,2,False,none,none
fetus and newborn affected by maternal nutritional disorders,none,none,none,2,False,none,none
other specified disorders of prostate,none,none,none,2,False,none,none
malignant neoplasm anterior two-thirds of tongue part unspecified,oral cavity cancer,oral cavity cancer,oral cavity cancer,2,False,oral cavity cancer,oral cavity cancer
acute nephritic syndrome unspecified,none,none,none,2,False,none,none
other atresia and stenosis of urethra and bladder neck,none,none,none,2,False,none,none
mental and behavioural disorders due to use of other stimulants including caffeine harmful use,none,none,none,2,False,none,none
iniencephaly,none,none,none,2,False,none,none
unspecified haemorrhoids with other complications until 2013 - then moved to k64,none,none,none,2,False,none,none
hypersensitivity pneumonitis due to unspecified organic dust,none,pulmonary disease,pulmonary disease,1,True,,none
other cervical disc degeneration,none,none,none,2,False,none,none
respiratory arrest,none,pulmonary disease,pulmonary disease,1,True,,none
insulin-dependent diabetes mellitus with ketoacidosis,none,none,none,2,False,none,none
acute prostatitis,none,none,none,2,False,none,none
ebstein anomaly,none,none,none,2,False,none,none
